video_id,total_comments,avg_likes_per_comment,total_likes,max_likes_per_comment,avg_comment_length,median_comment_length,avg_word_count,median_word_count,comments_with_mentions,comments_with_hashtags,comments_with_urls,total_replies,reply_comments_count
WpJOg7N54Qw,30,9.67,290,110,212.73,148.0,38.33,25.5,0,0,1,10,10
WqBkyS83b44,30,24.37,731,195,106.23,93.5,19.7,17.0,1,0,2,21,18
WrYrWLh7ewI,6,3.0,18,11,173.67,59.5,34.5,12.0,0,0,0,0,0
WrlkSH87u3I,30,45.67,1370,597,164.07,99.5,29.87,18.0,0,0,1,20,14
WsOiuxm8qB4,30,22.43,673,179,108.67,80.0,19.47,16.0,10,0,0,28,19
Wya-lj_TWAk,30,19.8,594,237,49.77,49.5,9.83,10.0,2,0,1,5,5
X-ToaRoxgMU,30,8.1,243,78,203.4,118.5,35.8,21.0,0,1,0,13,7
X3HEAU3g7dA,30,93.9,2817,1126,110.77,75.0,19.77,14.0,1,0,1,19,17
X52jSWjnvC0,30,242.07,7262,2323,72.73,39.0,13.8,7.5,4,0,0,66,25
X9Th_OBKyQ8,30,20.3,609,242,114.77,84.5,21.03,17.5,2,0,1,10,10
XB7TLFKnXHw,30,35.8,1074,532,131.73,56.0,23.73,11.5,3,0,1,17,12
XEJBS5SJTpA,25,3.76,94,48,72.52,34.0,11.84,6.0,1,0,1,6,6
XFpwgQDlMrc,30,5.77,173,35,133.7,77.0,25.0,13.5,1,0,1,20,12
XILu7hxDr2w,30,61.4,1842,1076,112.97,64.0,20.53,13.0,3,0,1,32,18
XJHM0fEH3ss,30,7.9,237,99,99.53,73.0,18.1,14.0,1,1,0,5,5
XJaGAQsFVHs,30,8.47,254,106,134.0,91.5,23.93,17.0,0,0,1,13,10
XU7Kp2vG3NU,30,3.87,116,34,65.7,42.5,12.27,8.5,0,0,1,1,1
XVhzQgRnYps,30,32.87,986,323,133.1,87.0,24.47,14.5,0,0,0,6,6
XWgaOtLFQCM,30,322.27,9668,4767,54.1,46.0,10.1,9.0,5,0,0,84,22
XY0fQ0ZVlRs,30,2.53,76,32,142.07,78.5,26.9,16.0,1,0,1,5,5
X_XNSeW9jok,30,124.53,3736,1318,111.17,68.0,20.23,13.0,5,0,1,50,23
XcZnSSmeK2I,30,2.03,61,16,112.87,78.5,20.97,16.0,0,0,0,10,8
XdC9vohgwww,5,2.2,11,5,72.2,81.0,13.2,13.0,0,0,0,0,0
Xdwoev7KgCU,10,0.8,8,3,32.6,37.5,6.0,6.0,0,0,0,2,2
Xg2cmsnvWx8,30,82.97,2489,886,67.87,46.5,12.7,8.0,5,0,1,54,24
XiGaXVJHwhc,30,75.37,2261,820,97.87,72.5,17.4,13.0,4,0,0,36,23
Xk0e6XZUyrQ,18,4.17,75,25,45.61,25.0,8.72,5.0,0,0,0,6,6
XmE9HIjIv8c,4,3.75,15,8,48.75,40.0,9.0,8.0,0,0,0,0,0
XnK8_nHUYt4,11,1.55,17,7,69.73,61.0,13.18,10.0,0,0,0,0,0
XpopyNZKYKw,30,114.3,3429,1662,145.23,107.5,26.57,20.0,6,0,1,118,20
XtOshDbMGkA,30,153.07,4592,1695,275.33,231.0,51.83,47.0,2,0,0,326,19
XtzgJ3yC7zQ,10,2.2,22,11,33.5,26.5,6.5,5.5,0,0,0,0,0
Y-d90cILIDk,30,37.87,1136,359,97.83,76.5,17.57,12.0,4,0,1,24,21
Y11SX2oHmw8,30,31.23,937,345,137.87,66.5,23.33,11.5,1,0,1,13,13
Y4GdbD99FzE,26,2.62,68,22,46.27,30.5,8.73,6.5,0,0,1,4,4
Y5PulPlCHXw,30,1.57,47,19,135.6,64.0,25.37,12.0,1,0,0,3,3
YAs9QasnXgA,30,35.73,1072,297,231.7,137.0,41.97,22.5,3,0,1,28,22
YDSEhszBgpM,30,7.97,239,58,35.87,30.5,7.17,5.0,1,0,0,21,16
YDktDCOHIbQ,24,1.46,35,24,95.38,49.5,17.46,9.5,0,0,1,1,1
YF00S6U_C1g,30,77.87,2336,436,80.77,53.5,15.57,10.0,2,0,0,15,15
YHJzSbLiQNs,30,95.5,2865,1071,71.67,37.0,12.9,7.0,6,0,1,30,24
YL7zhpxyovo,10,2.0,20,14,35.4,20.5,7.1,4.5,0,0,0,0,0
YNtnP-j3DA8,30,90.63,2719,1227,124.67,47.0,22.73,8.5,0,0,1,64,21
YPo5yrry6nw,7,2.0,14,7,128.14,93.0,25.86,20.0,0,0,0,0,0
YRMKUbUOZiY,20,0.5,10,3,80.3,42.0,14.15,8.0,0,0,0,1,1
YT7tQzmGRLA,30,173.43,5203,2048,209.3,48.5,36.4,9.0,4,0,1,56,23
YUBm9fS54SU,30,44.37,1331,502,88.87,54.5,16.5,11.0,3,0,0,19,16
Yf3kYUmMLgw,30,23.6,708,436,96.77,48.5,16.57,9.0,1,0,1,16,14
YuCRDlEFaw4,30,64.3,1929,499,167.93,117.5,31.03,19.5,6,0,0,35,19
Z-xazrZnY8A,30,5.93,178,74,148.73,138.5,27.23,26.0,0,0,0,1,1
Z-zNHHpXoMM,30,709.53,21286,9197,57.83,39.0,10.27,7.0,1,0,1,140,24
Z6Jvq1kCnIg,12,1.58,19,7,74.25,40.0,14.5,7.5,0,0,0,2,2
Z8Xcf_v3kJQ,30,2.5,75,18,83.87,50.0,15.33,9.0,1,0,0,7,7
ZD90JQjL5j0,30,12.73,382,107,162.4,136.5,29.6,26.5,1,0,0,2,2
ZIelHDxW_Xc,30,16.67,500,178,137.93,75.0,24.63,12.5,2,0,1,6,6
ZJto0cpF3XU,30,345.53,10366,2778,61.57,41.5,11.1,7.5,7,0,0,62,24
ZQpSCgTnEeI,30,88.17,2645,744,203.6,128.0,38.9,26.0,2,0,0,53,21
ZX9hINdSXes,10,4.4,44,17,206.8,74.5,38.6,13.0,0,0,1,3,3
ZaCNnliEW9A,30,47.57,1427,833,142.6,116.0,24.93,20.5,7,0,1,37,21
ZazwqwjDY6M,30,106.93,3208,1277,168.3,116.0,29.73,21.5,2,0,1,43,22
Ze4ifhPPAQ8,30,79.67,2390,962,149.4,83.0,26.97,18.0,3,1,1,33,20
ZhJ6GpkjK4s,30,63.87,1916,1091,85.63,54.5,15.77,10.0,1,0,1,21,17
Zi5gD9Mh29A,30,23.33,700,295,123.63,97.0,22.0,16.5,0,0,0,17,16
ZijqVV1NqYQ,30,1002.57,30077,7781,78.43,49.5,14.33,10.0,7,0,1,231,23
Zo5cf_CgR6M,30,68.97,2069,594,98.47,77.5,17.57,13.5,3,0,2,23,18
