video_id,like_count_mean,like_count_sum,like_count_std,comment_length_mean,comment_length_std,word_count_mean,word_count_std,total_reply_count_sum
Bmxjb3qThWI,2.73,41,4.54,141.0,95.78,25.33,16.41,4
BmznD0BNCzE,300.1,9003,755.06,79.2,94.96,14.6,16.89,112
BpLOu3sv-Jw,22.77,683,53.62,133.67,97.05,25.13,18.62,5
Bry8a_7b9aM,159.4,4782,381.67,99.73,124.36,18.07,22.06,46
BsLC5eIjcag,348.83,10465,1128.49,98.3,152.68,17.17,22.8,42
C0syvUws1ps,87.9,2637,215.98,98.87,156.73,17.77,25.54,37
C8RWt0o_2TE,25.67,770,58.9,179.9,190.34,32.23,33.29,14
CCzBoNeBKXc,2.75,22,4.4,79.25,60.06,15.0,11.46,0
CEfcYQoRt0s,2.5,30,2.97,60.0,49.51,11.83,10.17,0
CFN1uO1g3ls,216.87,6506,464.01,49.5,48.82,9.17,8.84,95
COhm-736828,57.4,1722,155.45,232.07,591.46,39.97,98.27,112
COrG9AOjLow,1.28,23,1.96,81.39,75.52,15.94,15.46,4
CUPe_TZECQQ,34.1,1023,110.15,106.23,81.14,19.0,14.37,16
CZI5uBumcgg,55.83,1675,99.76,65.7,56.47,12.3,9.88,24
CaOkjR3zVcI,0.64,14,1.36,57.86,50.64,11.23,9.12,4
CcK2Xe9BcUk,11.13,334,28.52,92.07,97.98,17.03,17.86,6
CcxWrS0JTqY,2.29,16,3.9,80.86,67.7,15.43,12.79,1
Ck5JOj4TlM4,28.87,866,56.85,161.1,171.09,29.67,31.87,8
Cky0O-hANDI,106.83,3205,183.21,119.03,159.53,22.03,29.64,39
ClXQoVgfeJw,57.97,1739,100.64,191.83,338.28,35.3,63.07,56
CuLOnlXlgVY,66.43,1993,174.66,131.73,145.08,24.03,25.43,30
D2WgxpWC6gY,14.07,422,37.74,105.8,110.91,20.37,21.68,3
D2ikQutKoRo,2.73,30,5.1,93.09,109.17,16.73,19.52,3
D3cajbOs8-M,7.57,227,21.27,61.37,51.28,11.47,9.11,10
D4Z7cQ7jLGc,19.47,584,49.42,159.07,188.18,28.57,34.85,27
DAKamTy749w,2.09,48,4.36,98.0,140.61,17.74,24.38,2
DAyMePDgrJ0,141.47,4244,341.41,74.8,79.24,13.37,13.59,55
DSTRL-bMOwY,25.07,752,77.04,90.47,79.05,15.67,14.12,26
DW6jW9utbwU,61.77,1853,185.98,148.03,201.33,27.97,37.71,41
De_Zs3g5JT4,2.29,39,5.14,78.76,65.08,15.0,11.82,3
DhGSyddz-g0,42.37,1271,103.1,46.7,31.41,8.73,6.17,39
DiXpCCaH038,2.53,48,4.39,74.0,88.58,13.74,16.56,7
Dyliijbw_aQ,126.3,3789,304.59,89.97,110.21,16.63,20.29,33
E3QpXj_QOqQ,164.6,4938,499.13,122.3,202.48,20.97,33.43,65
E78SM77gmFY,133.17,3995,347.45,50.43,47.79,8.4,8.56,49
E8vwGLMTx5I,259.37,7781,897.44,107.3,155.75,19.17,29.0,133
ELavuz3btaE,28.27,848,78.05,137.07,169.36,23.7,28.22,14
ERGbgvvCJ8o,56.3,1689,185.1,139.2,125.47,24.7,23.24,50
ETA6D3SkAZo,24.23,727,50.86,209.83,157.74,38.73,30.0,83
EfBczKGbGwA,146.1,4383,421.69,240.93,322.45,42.3,54.97,55
EgNHc43z374,1.21,23,1.78,69.16,71.36,11.53,9.81,7
ElxGH4MW9Ho,112.93,3388,335.7,92.03,99.59,15.7,16.78,50
EmvKi7ftyPs,46.97,1409,89.38,138.43,100.59,26.13,18.71,41
EuVKpMRl7ik,37.87,1136,88.27,227.7,243.61,42.1,44.99,11
EwSD4uCSX_M,59.63,1789,129.25,100.07,77.49,18.57,13.55,12
F2wqN4KBn0c,2.07,62,5.41,124.9,143.68,24.37,27.8,1
F4B0djrx6hI,1.93,27,3.95,48.93,40.94,9.0,7.14,3
F7JMKzBr8HY,63.1,1893,153.41,99.27,74.81,18.13,13.91,25
FEUIxnnW5-w,2.4,48,2.56,17.75,17.55,3.7,3.11,9
FJwp5RBLQcs,38.27,1148,72.18,153.6,187.35,28.03,34.44,27
FM9AOfcxNTI,10.67,320,22.84,371.23,707.24,67.9,132.24,32
FQJ3MsQFKNg,76.27,2288,237.98,167.2,138.95,30.43,25.3,31
FXPRTvmIcDs,2.53,38,4.44,48.8,52.35,9.2,8.76,4
FYU-4NOnLDY,23.7,711,63.56,208.93,146.06,39.03,28.23,78
FbSNfj2S6Pw,179.17,5375,499.76,152.37,167.84,27.5,29.23,39
FdSF4OfQ9f0,678.97,20369,1974.96,64.53,89.77,12.47,18.21,149
FeLNpX1GljM,207.73,6232,451.89,180.4,185.43,32.07,33.93,49
FiRp3GEebms,32.5,975,83.53,174.13,140.37,32.67,26.5,9
Fk3csAdegBI,131.27,3938,481.84,97.73,81.57,17.7,14.51,78
Fq1O5Tp7ohc,3.53,106,6.57,58.73,50.92,10.7,8.86,5
FyU1JgWfxyA,4.56,82,14.05,77.56,68.55,14.06,13.47,3
G-QC4mT8bXA,3.0,6,1.41,53.5,38.89,9.0,4.24,0
GGqB46Gi4Ko,36.63,1099,82.6,129.17,231.36,23.77,40.76,16
GJHH3SI_9Fo,2.4,72,3.01,97.37,142.15,18.37,27.31,3
GJtHczy4Ja4,4.17,50,5.95,61.08,64.24,11.58,11.32,1
GMYlFu4GAsw,12.87,386,33.35,87.97,164.87,16.0,30.86,4
GRDvoD7GwSg,1.81,29,2.64,39.5,31.02,7.25,4.42,0
GT9ZQX1OS68,25.97,779,65.13,75.6,80.28,15.17,15.75,60
GY9lNl3EO1I,89.7,2691,196.93,92.8,111.44,16.37,20.43,39
GYr9U9YWfI4,2.67,32,6.64,20.25,12.42,3.75,2.14,2
GcvaIT_1dNc,5.12,41,7.53,100.0,47.79,18.88,7.74,2
Gg8_TA7U0Uw,316.27,9488,891.94,171.53,128.01,29.77,21.1,61
GgSNvCY-AcY,97.8,2934,269.76,241.07,234.08,44.37,44.63,40
GpL4jfLZY3Q,177.4,5322,544.15,63.47,64.16,11.73,12.45,156
GtA4ywN_I1M,2.22,40,4.18,57.0,71.2,10.78,12.3,0
Gx2vyi4JcV0,252.5,7575,598.62,68.83,78.88,11.87,12.78,63
H-ykVthyNTc,55.57,1667,228.52,204.83,203.64,37.4,37.21,84
H2_WC2bcKE8,3.53,106,11.0,88.93,87.86,16.23,15.96,1
H77TpYpPtNI,0.92,12,1.93,70.69,54.68,12.92,9.93,1
H7KBukv3xaM,16.5,495,57.12,63.67,65.3,12.1,11.89,82
H7zolPUcJCM,262.2,7866,696.31,88.53,73.42,16.5,13.08,31
HEidZrkj96U,1.43,10,2.3,59.14,63.54,10.14,11.01,0
HGTzYlkT5Ww,2.7,81,4.31,105.33,84.42,19.93,15.46,4
HGktY1dytCw,309.43,9283,765.31,319.47,415.01,57.77,74.95,180
HIlZ-rW7dXA,15.13,454,30.71,62.07,53.37,11.67,9.67,6
HIqvJVucwwA,0.5,6,1.45,63.33,66.88,12.08,11.57,0
HJgnBktX5_0,47.2,1416,90.59,102.1,102.09,18.3,19.0,17
HJyrY3bRTn4,173.53,5206,426.04,98.43,105.84,18.67,20.19,57
HKGAzzqkfWM,2.91,32,3.21,50.18,47.6,9.64,8.5,0
HPcIwHwZIhI,25.3,759,51.85,242.77,171.13,44.8,31.35,2
HRz7yUaeTy0,98.23,2947,301.23,119.17,108.43,21.1,20.0,40
HSJmimPjL5M,86.17,2585,247.02,100.7,63.64,17.77,10.26,4
HVRHozw5GA4,156.57,4697,367.8,155.63,150.98,29.57,29.09,83
HgS5__-Pt74,81.33,2440,224.78,99.87,98.72,18.3,17.89,23
HoqjLxRBIMQ,29.73,892,57.53,232.43,297.18,41.73,55.25,39
HuX3yT4rvDs,354.7,10641,950.36,62.53,51.76,11.07,9.1,49
Hw3SpLQYeLA,84.2,2526,153.81,82.17,110.23,15.27,20.47,35
HwPsLCk3EkU,6.11,55,11.17,71.11,65.15,13.44,11.14,3
